Key,Result
290236,294437024 25723232 
290296,294437088
290776,294437152
294616,294437216
325336,26280160 294437280 
386776,294437344
509656,294437408
478640,294699616
318215,299172896
318223,294699040
318238,294699104
318268,294699168
318328,294699232
318448,294699296
319408,294699360
327088,294699424
388528,294699488
511408,294699552
482144,294961760
374279,299435040
374287,294961184
374302,294961248
374332,294961312
374392,294961376
374512,294961440
374752,294961504
376672,294961568
392032,294961632
514912,294961696
489152,295223904
486407,299697184
486415,295223328
486430,295223392
486460,295223456
486520,295223520
486640,295223584
486880,295223648 22331936 
487360,295223712
491200,295223776
521920,295223840
69647,307806240
65780,307806432
69662,307806304
66020,307806496
69692,307806368
66500,307806560
69752,307806432
67460,307806624
69872,307806496
69380,307806688
70112,307806560
73220,307806752
70592,307806624
80900,307806816
71552,307806688
96260,307806880
73472,307806752
126980,307806944
32803,312280096
36096,312001120
65615,307806240
81152,307806816
65630,307806304
96512,307806880
65660,307806368
127232,307806944
32824,312279264
57600,307807008
238092,34898656
145932,39092768
237764,34915040
134260,39387360
139463,39371808
134215,39388192
951259,21496352
540087,25969696
540095,21495840
540155,21495904
555995,21513248 21496032 
586715,21496096
648155,21496160
771035,21496224
1016795,21496288
459739,21496352
952054,21512736
552807,25986080
276403,25986080
552815,21512224
552830,21512288
556790,21512416
587510,21512480
648950,21512544
771830,21512608
1017590,21512672
460534,21512736
953788,21529120
580551,26002464
290275,26002464
580559,21528608
580574,21528672 21250336 
581564,21528800
589244,21528864
650684,21807264 21528928 
773564,21528992
1019324,21529056
462268,21529120
957292,21791264
636615,26264608
318307,26264608
636623,21790752
636638,21790816
636668,21790880
636908,21790944
638828,21791008
654188,21791072
777068,21791136
1022828,21791200
465772,21791264
964300,22053408
748743,26526752
374371,26526752
748751,22052896
748766,22052960
748796,22053024
749036,22053088
749516,22053152
753356,22053216
784076,22053280
1029836,22053344
472780,22053408
978316,22315552
972999,26788896
486499,26788896
973007,22315040
973022,22315104
973052,22315168
973292,22315232
973772,22315296 17859040 
974732,22315360
982412,22315424
1043852,22315488
486796,26771808 22315552 
482060,26509920
372935,30983200
372943,26509344
372958,26509408
372988,26509472
373228,26509536
373708,26509600
374668,26509664
376588,26509728
391948,26509792
514828,26509856
69731,39371808
67124,39387360
139471,34897952
134388,34914528
139486,34898016
134628,34914592
139516,34898080
135108,34914656
139756,34898144
138948,34914720
140236,34898208
146628,34914784
